id,name,pharmacy_name_main,description,region,address,latitude,longitude,contact_phone,pharmacy_tel,pharmacy_mob,all_phones,is_duty_24h,has_optika,has_optika_service,insurance_partners,image_url,thumb_image,gallery_images,gallery_count,google_maps_url,page_url
250,GÜNƏBAXAN N.Nərimanov pr. (Gəncə),GÜNƏBAXAN N.Nərimanov pr. (Gəncə),"GÜNƏBAXAN N.Nərimanov pr. (Gəncə), Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Nizami (Gəncə),Gəncə şəh. Nəriman Nərimanov pr. 7-ci dön. ev 29,40.674,46.368,994222686434,994222686434,994554555695,*7700,0,0,0,,https://aptekonline.az//storage/PharmacyGalery/IAxJflBlYkUykWm3iZansnfzpIazY5unq5iOAB6N.jpeg,thumb_IAxJflBlYkUykWm3iZansnfzpIazY5unq5iOAB6N.jpeg,,0,"https://www.google.com/maps?q=40.674,46.368",https://aptekonline.az/pharmacies/250
252,KANON Ə.Məmmədəliyev küç. Sabunçu qəs.,KANON Ə.Məmmədəliyev küç. Sabunçu qəs.,"KANON Ə.Məmmədəliyev küç. Sabunçu qəs., Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Bakı şəhəri Sabunçu rayonu,Bakı şəh. Sabunçu ray. Sabunçu qəs. Əsildar Məmmədəliyev küç. ev 123,40.446,49.945,994124501524,994124501524,994554555652,*7700,0,0,0,,https://aptekonline.az//storage/PharmacyGalery/6bKYRIUBeblNZCiegTQiTMf4xB8NMhLEtl4Igv2n.jpeg,thumb_6bKYRIUBeblNZCiegTQiTMf4xB8NMhLEtl4Igv2n.jpeg,,0,"https://www.google.com/maps?q=40.446,49.945",https://aptekonline.az/pharmacies/252
251,KANON S.Ə.Şirvani küç.,KANON S.Ə.Şirvani küç.,"KANON S.Ə.Şirvani küç., Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Bakı şəhəri Xətai rayonu,Bakı şəh. Xətai ray. Seyid Əzim Şirvani küç. ev 1,40.393,49.955,994123702237,994123702237,994554559159,*7700,0,0,0,,https://aptekonline.az//storage/PharmacyGalery/JWGZZ2Fmc4fdOd3kYYrdUrYGcjRes1XC2E35dKQj.jpeg,thumb_JWGZZ2Fmc4fdOd3kYYrdUrYGcjRes1XC2E35dKQj.jpeg,,0,"https://www.google.com/maps?q=40.393,49.955",https://aptekonline.az/pharmacies/251
254,KANON X.Bəylərov küç. (İmişli),KANON X.Bəylərov küç. (İmişli),"KANON X.Bəylərov küç. (İmişli), Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",İmişli,İmişli şəh. Xanhüseyn Bəylərov küç. ev 12 A,39.858,48.069,994212466937,994212466937,994554559151,*7700,0,0,0,,https://aptekonline.az//storage/PharmacyGalery/4c5ecXOYbEUJnP4Wynv1Tc9K2wF9YSJ86IF2voIJ.jpeg,thumb_4c5ecXOYbEUJnP4Wynv1Tc9K2wF9YSJ86IF2voIJ.jpeg,,0,"https://www.google.com/maps?q=39.858,48.069",https://aptekonline.az/pharmacies/254
255,ZƏFƏRAN A.Məmmədov küç. 9-cu MKR,ZƏFƏRAN A.Məmmədov küç. 9-cu MKR,"ZƏFƏRAN A.Məmmədov küç. 9-cu MKR, Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Abşeron,Bakı şəh. Binəqədi ray. 9-cu mkr. Adil Məmmədov küç. ev 11,40.419,49.808,994124472298,994124472298,994554559169,*7700,None,0,0,,https://aptekonline.az//storage/PharmacyGalery/vfNFM0cTEAQd9nX5skrndVqaJVj6hvEzkX2h28Ud.jpeg,thumb_vfNFM0cTEAQd9nX5skrndVqaJVj6hvEzkX2h28Ud.jpeg,,0,"https://www.google.com/maps?q=40.419,49.808",https://aptekonline.az/pharmacies/255
253,AZERİMED APTEK 9-cu mkr. H.Babaşov küç.43,AZERİMED APTEK 9-cu mkr. H.Babaşov küç.43,"AZERİMED APTEK 9-cu mkr. H.Babaşov küç.43, Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Bakı şəhəri Binəqədi rayonu,Bakı şəh. Binəqədi ray. 9-cu mkr. Həmzə Babaşov küç. ev 43 N,40.427,49.821,994125695283,994125695283,994554559154,*7700,0,0,0,,https://aptekonline.az//storage/PharmacyGalery/vNwagXoUYgMJouhm44tJeIMmsGdTzo5cLZcXOS5U.jpeg,thumb_vNwagXoUYgMJouhm44tJeIMmsGdTzo5cLZcXOS5U.jpeg,,0,"https://www.google.com/maps?q=40.427,49.821",https://aptekonline.az/pharmacies/253
257,KANON R.Mürsəlov küç (Tərtər),KANON R.Mürsəlov küç (Tərtər),"KANON R.Mürsəlov küç (Tərtər), Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Tərtər,Tərtər şəh. Rasim Mürsəlov küç.,40.339,46.927,994222362946,994222362946,994554559165,*7700,None,0,0,,https://aptekonline.az//storage/PharmacyGalery/kanon_r_m_rs_lov_k_t_rt_r__img_1746611964.jpg,thumb_kanon_r_m_rs_lov_k_t_rt_r__img_1746611964.jpg,,0,"https://www.google.com/maps?q=40.339,46.927",https://aptekonline.az/pharmacies/257
260,ZƏFƏRAN H.Əliyev pr. (Goranboy),ZƏFƏRAN H.Əliyev pr. (Goranboy),"ZƏFƏRAN H.Əliyev pr. (Goranboy), Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Goranboy,"Goranboy ş, Heydər Əliyev pr, ev 10",40.608,46.788,994554559174,994554559174,994554559174,*7700,0,0,0,,https://aptekonline.az//storage/PharmacyGalery/z_f_ran_h_liyev_pr_goranboy__img.jpg,thumb_z_f_ran_h_liyev_pr_goranboy__img.jpg,,0,"https://www.google.com/maps?q=40.608,46.788",https://aptekonline.az/pharmacies/260
262,"KANON M.Mirqasımov, Klinik Tibbi Mərkəzin yanı","KANON M.Mirqasımov, Klinik Tibbi Mərkəzin yanı","KANON M.Mirqasımov, Klinik Tibbi Mərkəzin yanı, Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Bakı şəhəri Nəsimi rayonu,"Bakı şəhəri, Nəsimi rayonu  Mir Qasımov 1a",40.393,49.831,994125954935,994125954935,994554559173,*7700,None,0,0,,https://aptekonline.az//storage/PharmacyGalery/kanon_m_mirqas_mov_klinik_tibbi_m_rk_zin_yan__img_1728302953.jpg,thumb_kanon_m_mirqas_mov_klinik_tibbi_m_rk_zin_yan__img_1728302953.jpg,,0,"https://www.google.com/maps?q=40.393,49.831",https://aptekonline.az/pharmacies/262
263,GÜNƏBAXAN MÜŞFİQABAD-2,GÜNƏBAXAN MÜŞFİQABAD-2,"GÜNƏBAXAN MÜŞFİQABAD-2, Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Bakı şəhəri Qaradağ rayonu,"Qaradağ ray., Müşviqabad qes, Quşçu massivi",40.468,49.619,994124109205,994124109205,994554555697,*7700,0,0,0,,https://aptekonline.az//storage/PharmacyGalery/MIzrBdHfQIhpO8dVjaaNXwTTto2mFk96BYhE9fOq.jpeg,thumb_MIzrBdHfQIhpO8dVjaaNXwTTto2mFk96BYhE9fOq.jpeg,,0,"https://www.google.com/maps?q=40.468,49.619",https://aptekonline.az/pharmacies/263
